order_id,customer_id,store_id,order_date,product_id,quantity,unit_price,discount,payment_method,payment_amount
O100001,C0018,S002,2026-07-17 19:57:31.386674,P0006,4,3447.16,0.05,UPI,13099.21
O100002,C0023,S005,2026-07-19 11:37:31.386674,P0013,1,326.37,0.05,NetBanking,310.05
O100003,C0006,S005,2026-07-21 06:30:31.386674,P0018,1,3027.48,0.1,Cash,2724.73
O100004,C0003,S006,2026-07-18 18:56:31.386674,P0019,2,4084.27,0.0,Card,8168.54
O100005,C0030,S006,2026-08-06 21:01:31.386674,P0004,4,1270.41,0.05,Cash,4827.56
O100006,C0045,S006,2026-07-31 12:29:31.386674,P0012,2,2624.71,0.05,Card,4986.95
O100007,C0030,S004,2026-07-20 06:35:31.386674,P0018,2,3027.48,0.0,Card,6054.96
O100008,C0003,S003,2026-07-23 17:55:31.386674,P0011,1,1248.46,0.0,Card,1248.46
O100009,C0042,S004,2026-07-24 06:20:31.386674,P0019,3,4084.27,0.0,Card,12252.81
O100010,C0048,S005,2026-07-28 18:38:31.386674,P0009,2,2224.22,0.0,NetBanking,4448.44
O100011,C0015,S002,2026-07-28 00:56:31.386674,P0019,4,4084.27,0.05,UPI,15520.23
O100012,C0044,S004,2026-07-30 12:15:31.386674,P0004,2,1270.41,0.0,NetBanking,2540.82
O100013,C0017,S005,2026-08-07 10:34:31.386674,P0020,4,230.19,0.15,UPI,782.65
O100014,C0008,S003,2026-07-24 15:20:31.386674,P0018,3,3027.48,0.05,UPI,8628.32
O100015,C0033,S001,2026-08-08 06:10:31.386674,P0009,5,2224.22,0.0,Card,11121.1
O100016,C0035,S005,2026-08-09 10:29:31.386674,P0005,3,3734.06,0.0,Cash,11202.18
O100017,C0024,S003,2026-07-18 11:06:31.386674,P0016,1,2814.72,0.0,UPI,2814.72
O100018,C0049,S005,2026-08-04 13:59:31.386674,P0003,4,1519.14,0.0,NetBanking,6076.56
O100019,C0034,S005,2026-07-24 16:50:31.386674,P0018,2,3027.48,0.05,Card,5752.21
O100020,C0029,S005,2026-07-25 13:06:31.386674,P0010,4,342.03,0.05,Card,1299.71
O100021,C0038,S005,2026-07-19 04:05:31.386674,P0003,3,1519.14,0.0,UPI,4557.42
O100022,C0005,S001,2026-08-07 19:55:31.386674,P0003,1,1519.14,0.0,Card,1519.14
O100023,C0035,S002,2026-08-04 04:27:31.386674,P0009,4,2224.22,0.0,NetBanking,8896.88
O100024,C0013,S001,2026-07-15 07:18:31.386674,P0008,4,616.31,0.1,Cash,2218.72
O100025,C0047,S001,2026-08-02 06:32:31.386674,P0014,4,1153.42,0.1,UPI,4152.31
O100026,C0007,S002,2026-07-17 16:25:31.386674,P0002,4,319.05,0.05,NetBanking,1212.39
O100027,C0018,S004,2026-07-18 12:19:31.386674,P0005,4,3734.06,0.0,UPI,14936.24
O100028,C0006,S002,2026-07-16 23:22:31.386674,P0002,5,319.05,0.0,NetBanking,1595.25
O100029,C0011,S004,2026-07-11 22:07:31.386674,P0007,4,4481.46,0.0,NetBanking,17925.84
O100030,C0043,S006,2026-07-26 14:03:31.386674,P0010,4,342.03,0.15,Cash,1162.9
O100031,C0048,S005,2026-07-13 09:11:31.386674,P0007,1,4481.46,0.15,UPI,3809.24
O100032,C0033,S005,2026-07-16 11:23:31.386674,P0002,5,319.05,0.1,UPI,1435.73
O100033,C0005,S006,2026-08-07 17:16:31.386674,P0006,1,3447.16,0.15,UPI,2930.09
O100034,C0039,S001,2026-07-30 12:17:31.386674,P0019,2,4084.27,0.15,Cash,6943.26
O100035,C0016,S003,2026-07-23 14:33:31.386674,P0009,2,2224.22,0.05,Cash,4226.02
O100036,C0001,S004,2026-07-31 03:57:31.386674,P0015,3,3318.45,0.0,UPI,9955.35
O100037,C0017,S002,2026-08-09 21:47:31.386674,P0018,2,3027.48,0.15,UPI,5146.72
